taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	true_max_depth	water_column_position	intertidal	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	temperature	general_comments
612803	Periophthalmus barbarus	Atlantic mudskipper	6	60	405	5745	12803	49.99999985	0.8	1	0.5	0	0.25	0	2	0	0	0	1	0	20	0		benthic	t	21	-18	"{34,47}"	2	21.5	26.5	"Amphibious air-breather, skips or walks on sand or mud in search of food; that is, on exposed intertidal mud flats of estuarine mangrove swamps "
690377	Lithodes santolla	Southern king crab	901009	910032	900448	907791	983760	0.999999997	0.2	0	0	0	0	0	0.5	0	0.5	0	0.5	0	212	0	600	demersal	f	-39	-60	"{41,87}"	2	14	5	"Amy's comments: Name changed from Lithodes antarcticus to Lithodes santolla. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. Can be found up to 600 m in some parts of range but commonly above 200 m (http://spo.nmfs.noaa.gov/mfr482/mfr4825.pdf) Forieng Fisheries Review South American Centolla Fishery"
600865	Carcharhinus brevipinna	Spinner shark	4	8	11	1358	865	0.999999997	0.2	0	0	0	0	0	0.5	0.25	0.5	0	0.5	0.5	9999	0	100	reef-associated	f	40	-38	"{21,31,34,37,41,47,51,57,61,71,81}"	11	234.3914807	27.4	"FB or SLB Comments: Found on the continental and insular shelves from close inshore to offshore (Ref. 244). Makes vertical spinning leaps out of the water as a feeding technique in which the sharks spins through a school of small fish with an open mouth and then breaks the surface (Ref. 9997). Feeds mainly on pelagic bony fishes, also small sharks, cuttlefish, squids, and octopi (Ref. 244, 5578). Viviparous (Ref. 50449). Forms schools (Ref. 244). Highly migratory off Florida and Louisiana and in the Gulf of Mexico (Ref. 244). Regularly caught in fisheries where found (Ref. 244). Utilized fresh and dried salted for human consumption (Ref. 244). Fins probably used in the oriental shark fin trade, and livers for vitamin oil production (Ref. 9997)."
601235	Sphyraena barracuda	Great barracuda	6	60	360	997	1235	99.9999997	0.8	0.5	0.75	0	0.5	0	0.5	0.25	0.5	0	0.5	0.5	9999	0	100		f	45	-35	"{21,31,34,41,51,57,61,71,77,81}"	10	179	27.2	
606978	Magnisudis prionosa	Southern barracudina	6	39	169	2576	6978	30.27210743	0.4	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5	9999	0	1000	bathypelagic	f	-20	-60	"{41,48,51,58,81}"	5	49.665	6.8	"FB or SLB Comments: Vertically, juveniles occur from near surface to about 200 m and adults down to 1,000 m but mainly between 300-800 m. Feeds mainly on fishes."
606358	Chirocentrus dorab	Dorab wolfherring	6	28	45	9307	6358	69.99999979	0.6	0.5	0	0	0.5	0	0.5	0	0	0	1	0	9999	10	120		f	35	-30	"{51,57,61,71,77}"	5	100	28.1	
601006	Seriola fasciata	Lesser amberjack	6	60	314	7464	1006	0.999999997	0.2	0	0	0	0	0	0.5	0.25	0.5	0	0.5	0.5	9999	55	130	benthopelagic	f	43	-30	"{21,27,31,34,37,41,47}"	7	57.69033537	23.3	Adults are benthopelagic near the coasts; Smaller juveniles epipelagic in oceanic or offshore neritic waters. 
690016	Euphausia superba	Antarctic krill	901009	910033	900496	904979	927320	0.999999997	0.2	0	0	0	0	0	0.5	0	0	0	1	0	200	0	1328	pelagic	f	-45	-79	"{48,58,88}"	3	6	-1	"Amy's comments: seamount. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
601935	Caranx latus	Horseeye jack	6	60	314	3864	1935	69.99999979	0.6	0.5	1	0	0	0	0.5	0.25	0.5	0	0.5	0.5	9999	0	140		f	41	-23	"{21,31,34,41,47}"	5	92	26.5	
609888	Cubiceps capensis	Cape fathead	6	60	422	1399	9888	30.39999991	0.4	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5	9999	0	140	pelagic-oceanic	f	40	-35	"{21,37,41,47,51,57,71,77,87}"	9	87.43528923		"FB or SLB Comments: Oceanic, epipelagic or mesopelagic in tropical waters. Feeds mainly on salps (Ref. 33689). Occurs near the surface at night but depth at daytime is not known. Excellent food fish."
500487	Scomberomorus	Spanish mackerels	6	60	416	2960		99.9999997	0.8	0.5	0.5	0	0	0.5	0.5	0.25	0.5	0	1	0.5	9999	0	140		f	45	-45	"{21,31,34,37,41,47,51,57,61,71,77,81,87}"	13	112	26.325	
601606	Dorosoma petenense	Threadfin shad	6	28	43	3494	1606	0.999999997	0.2	0	0	0	0	0	0.25	0	0.5	0	0.75	0	9999	0	15	pelagic-neritic	f	42	15	"{2,6,21,31,77}"	5	27.23895997	25.5	"FB or SLB Comments: Often schooling, occurring mainly in freshwater (in large rivers, reservoirs, lakes, and swamps). Prefer the presence of smooth, steep-sided surfaces such as dams, cement-lined pools and rip rapped streams (Ref. 39049). But adults are also found in brackish or saline water of estuaries and bays (up to 32.3 ppt salinity (Ref. 39050); juveniles to about 15 ppt). Larvae are pelagic probably found only in freshwater (Ref. 39046). Filter-feeders, but not entirely herbivorous since recorded food items include copepods, cladocerans and fish fry. Also feed on organic material of sand and detritus bottoms (Ref. 9114). Breed in the spring and in autumn, in freshwater, near or over plants or other objects. Eggs adhere to aquatic vegetation (Ref. 4639). Caught exclusively in fresh waters and sometimes in mouths of rivers (Ref. 9291). Also Ref. 58302."
600876	Carcharhinus macloti	Hardnose shark	4	8	11	1358	876	0.999999997	0.2	0	0	0	0	0	0.5	0.25	0.5	0	0.75	0.25	9999	0	170	demersal	f	26	-11	"{51,57,61,71}"	4	87.22128834	28	"FB or SLB Comments: Found in inshore and offshore waters of continental and insular shelves (Ref. 9997). Feeds mainly on fishes, also cephalopods and crustaceans (Ref. 6871). Viviparous (Ref. 50449). Of limited interest to fisheries due to its small size (Ref. 9997). Utilized fresh and probably dried-salted for human consumption (Ref. 244)."
605123	Exocoetus monocirrhus	Barbel flyingfish	6	51	206	64	5123	0.999999997	0.2	0	0	0	0	0	0.5	0.25	0.5	0	0	0.5	9999	0	20	pelagic-oceanic	f			"{47,51,57,61,71,77,87}"	7	20		FB or SLB Comments: Epipelagic in oceanic and neritic waters (Ref. 9839). May leap out of the water and glide for considerable distances above the surface.
601897	Caranx senegallus	Senegal jack	6	60	314	3864	1897	0.999999997	0.2	0	0	0	0	0	0.5	0.25	0.5	0	0.75	0.5	9999	0	200	benthopelagic	f	25	-20	"{1,34,47}"	3	77.53620941	19.7	"FB or SLB Comments: Inhabits coastal waters (Ref. 2683). Pelagic species that may enter estuaries and lagoons (Ref. 57391). Feeds on fish, crabs and shrimps (Ref. 28587). Maximum total length reported as 500mm in Ref. 57392."
606979	Notolepis annulata	Ringed barracudina	6	39	169	2048	6979	0.999999999	0.2	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	9999	0	2050	demersal	f	-37	-72	"{41,48,58}"	3	0		"Amy's comments: Abyssal>2000. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Juveniles taken at 45 m; adults from 550 to more than 2, 000 m. Feeds on krill and fishes."
607118	Icichthys australis	Southern driftfish	6	60	421	3058	7118	0.999999997	0.2	0	0	0	0	0	0.25	0.25	0	0.25	0	0.25	9999	0	2141	pelagic-oceanic	f	-34	-61	"{41,48,57,58,81,87,88}"	7	69.80832874		"Amy's comments: shelf (Jacob, W., McClatchie, S., Probert, P. K., & Hurst, R. J. (1998). Demersal fish assemblages off southern New Zealand in relation to depth and temperature. Deep-sea Research Part I, 45(12), 2119-2155.) AND slope (Pakhomov, E. A., Bushula, T., Kaehler, S., Watkins, B. P., & Leslie, R. W. (2006). Structure and distribution of the slope fish community in the vicinity of the sub?Antarctic Prince Edward Archipelago. Journal of Fish Biology, 68(6), 1834-1866.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: A rare (Ref. 5205) oceanic species."
